學年度,學期,設立別,學校類型,學校代碼,學校名稱,系所代碼,系所名稱,學制,對方國別,對方學校名稱,對方學校英文名稱,總計,男生,女生
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,南京大學,Nan Jing University,4,0,4
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,南開大學,Nankai University,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,復旦大學,Fudan University,1,1,0
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,復旦大學,Fudan University,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,廈門大學,Xiamen University,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),法國,蒙彼利埃第二大學,IAE,1,0,1
103,1,私立,一般大學,1001,東海大學,580203,景觀學系,學士班(日間),中國大陸,天津大學,Tianjin University,1,0,1
103,1,私立,一般大學,1001,東海大學,580203,景觀學系,學士班(日間),中國大陸,同濟大學,Tongji University,1,1,0
103,1,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),日本,千葉大學,Chiba University,1,1,0
103,1,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),中國大陸,北京語言大學,Beijing Language and Culture Univ.,2,0,2
103,1,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),中國大陸,四川大學,Sichuan University,1,1,0
103,1,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),美國,印地安納大學,Indiana University,1,0,1
103,1,私立,一般大學,1001,東海大學,340201,會計學系,學士班(日間),日本,關西學院大學,KWANSEI GAKUIN University,1,0,1
103,1,私立,一般大學,1001,東海大學,310101,經濟學系,學士班(日間),日本,人間環境大學愛知大學,University of  human environments、Aichi University,1,1,0
103,1,私立,一般大學,1001,東海大學,310101,經濟學系,學士班(日間),中國大陸,中山大學,Sun Yat-sen University,1,0,1
103,1,私立,一般大學,1001,東海大學,310101,經濟學系,學士班(日間),中國大陸,北京語言大學,Beijing Language and Culture Univ.,3,0,3
103,1,私立,一般大學,1001,東海大學,310101,經濟學系,學士班(日間),南韓,崇實大學,Soongsil University,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),法國,EDC商學院,EDC,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,中央財經大學,Central University of Finance & Economics,1,1,0
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,北京大學,Peking University,1,1,0
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,北京語言大學,Beijing Language and Culture Univ.,6,1,5
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),中國大陸,吉林大學,Jilin University,3,0,3
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),南韓,延世大學,Yonsei University,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),德國,明斯特大學,Universit?t M?nster,1,0,1
103,1,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,學士班(日間),德國,明斯特大學,Universit?t M?nster,1,0,1
103,1,私立,一般大學,1001,東海大學,480109,資訊管理學系,學士班(日間),中國大陸,北京大學/中國現代化研究基金會,Peking University,3,0,3
103,1,私立,一般大學,1001,東海大學,220901,歷史學系,學士班(日間),中國大陸,南開大學,Nankai University,1,0,1
103,1,私立,一般大學,1001,東海大學,810102,餐旅管理學系,學士班(日間),中國大陸,中山大學,Sun Yat-sen University,1,0,1
103,1,私立,一般大學,1001,東海大學,810102,餐旅管理學系,學士班(日間),中國大陸,北京語言大學,Beijing Language and Culture Univ.,1,0,1
103,1,私立,一般大學,1001,東海大學,440302,應用物理學系,學士班(日間),日本,日本東海大學,Tokai Univ.,1,1,0
103,1,私立,一般大學,1001,東海大學,440302,應用物理學系,學士班(日間),日本,關西學院大學,KWANSEI GAKUIN Univ.,1,1,0
103,1,私立,一般大學,1001,東海大學,460102,應用數學系,學士班(日間),中國大陸,北京師範大學,Beijing Normal University,1,1,0
103,1,私立,一般大學,1001,東海大學,520904,環境科學與工程學系,學士班(日間),日本,日本春八/臺灣新竹國家同步輻射中心,SPring-8,2,0,2
103,1,私立,一般大學,1001,東海大學,520904,環境科學與工程學系,學士班(日間),中國大陸,廈門大學,Xiamen University,1,1,0
